iter	Passed	Remaining
719	19902	35382
720	19928	35351
721	19957	35326
722	19984	35298
723	20010	35267
724	20037	35238
725	20063	35208
726	20088	35176
727	20115	35146
728	20143	35119
729	20172	35095
730	20200	35067
731	20227	35039
732	20261	35022
733	20290	34997
734	20319	34971
735	20346	34943
736	20375	34916
737	20405	34894
738	20433	34866
739	20460	34837
740	20488	34811
741	20516	34783
742	20547	34762
743	20573	34731
744	20601	34704
745	20626	34672
746	20653	34643
747	20680	34614
748	20706	34583
749	20732	34554
750	20758	34524
751	20784	34493
752	20808	34460
753	20835	34430
754	20860	34398
755	20887	34370
756	20913	34340
757	20939	34309
758	20965	34279
759	20991	34248
760	21020	34223
761	21046	34194
762	21072	34163
763	21101	34137
764	21127	34107
765	21153	34078
766	21181	34050
767	21208	34022
768	21236	33994
769	21264	33967
770	21293	33941
771	21320	33913
772	21348	33887
773	21377	33861
774	21401	33828
775	21429	33801
776	21454	33768
777	21480	33739
778	21506	33708
779	21534	33681
780	21561	33653
781	21589	33626
782	21616	33597
783	21642	33567
784	21669	33539
785	21697	33512
786	21725	33485
787	21756	33463
788	21784	33436
789	21812	33409
790	21839	33380
791	21866	33352
792	21893	33323
793	21920	33295
794	21948	33267
795	21972	33235
796	21999	33206
797	22025	33176
798	22053	33149
799	22079	33119
800	22106	33091
801	22134	33063
802	22157	33029
803	22183	32999
804	22210	32970
805	22237	32942
806	22264	32913
807	22289	32882
808	22317	32855
809	22343	32825
810	22370	32797
811	22399	32771
812	22427	32744
813	22454	32715
814	22482	32688
815	22510	32661
816	22539	32636
817	22569	32612
818	22598	32587
819	22627	32561
820	22654	32533
821	22684	32508
822	22710	32479
823	22738	32452
824	22769	32428
825	22797	32402
826	22823	32371
827	22850	32344
828	22876	32313
829	22904	32286
830	22931	32258
831	22955	32226
832	22986	32203
833	23014	32175
834	23041	32148
835	23069	32120
836	23098	32095
837	23126	32067
838	23153	32039
839	23183	32015
840	23209	31985
841	23237	31958
842	23265	31931
843	23293	31904
844	23319	31874
845	23349	31849
846	23377	31823
847	23402	31792
848	23429	31764
849	23455	31733
850	23481	31704
851	23507	31674
852	23535	31647
853	23564	31622
854	23590	31591
855	23617	31563
856	23644	31535
857	23669	31504
858	23698	31478
859	23725	31450
860	23750	31418
861	23777	31391
862	23804	31362
863	23831	31333
864	23857	31304
865	23885	31277
866	23911	31248
867	23939	31220
868	23964	31189
869	23993	31163
870	24019	31134
871	24048	31108
872	24077	31082
873	24107	31058
874	24135	31031
875	24164	31005
876	24191	30977
877	24217	30947
878	24245	30920
879	24272	30892
880	24298	30862
881	24326	30835
882	24353	30806
883	24380	30779
884	24408	30751
885	24432	30719
886	24459	30691
887	24487	30664
888	24513	30635
889	24542	30608
890	24569	30580
891	24597	30554
892	24625	30527
893	24656	30502
894	24682	30473
895	24711	30448
896	24740	30421
897	24768	30395
898	24797	30369
899	24827	30344
900	24856	30319
901	24885	30292
902	24912	30265
903	24941	30238
904	24970	30212
905	24997	30184
906	25026	30158
907	25053	30129
908	25079	30100
909	25106	30073
910	25133	30044
911	25159	30014
912	25188	29988
913	25217	29962
914	25244	29934
915	25270	29905
916	25294	29873
917	25323	29846
918	25351	29819
919	25377	29790
920	25406	29764
921	25433	29736
922	25459	29706
923	25487	29680
924	25515	29652
925	25543	29625
926	25570	29597
927	25598	29570
928	25624	29541
929	25651	29513
930	25677	29484
931	25704	29455
932	25730	29426
933	25758	29398
934	25786	29371
935	25812	29342
936	25841	29316
937	25866	29286
938	25893	29257
939	25922	29231
940	25949	29203
941	25975	29173
942	26001	29144
943	26027	29115
944	26055	29088
945	26083	29060
946	26109	29031
947	26137	29004
948	26164	28976
949	26192	28949
950	26221	28923
951	26248	28895
952	26275	28867
953	26303	28839
954	26332	28813
955	26359	28785
956	26390	28761
957	26418	28735
958	26445	28707
959	26473	28679
960	26500	28651
961	26528	28623
962	26556	28597
963	26584	28570
964	26610	28540
965	26638	28514
966	26667	28487
967	26694	28459
968	26720	28430
969	26749	28403
970	26778	28377
971	26804	28348
972	26834	28323
973	26863	28297
974	26890	28269
975	26917	28241
976	26944	28212
977	26971	28184
978	27000	28158
979	27027	28130
980	27053	28101
981	27083	28075
982	27110	28048
983	27138	28020
984	27167	27994
985	27194	27966
986	27220	27937
987	27249	27911
988	27276	27883
989	27304	27855
990	27332	27829
991	27361	27802
992	27387	27773
993	27420	27751
994	27449	27724
995	27477	27697
996	27502	27667
997	27530	27641
998	27558	27613
999	27582	27582
1000	27609	27553
1001	27634	27524
1002	27663	27498
1003	27689	27469
1004	27715	27439
1005	27741	27410
1006	27767	27381
1007	27793	27352
1008	27818	27321
1009	27845	27293
1010	27870	27263
1011	27897	27236
1012	27926	27209
1013	27950	27178
1014	27976	27150
1015	28002	27120
1016	28031	27094
1017	28057	27065
1018	28084	27036
1019	28112	27010
1020	28138	26981
1021	28165	26953
1022	28192	26924
1023	28218	26895
1024	28245	26867
1025	28271	26838
1026	28297	26809
1027	28323	26780
1028	28349	26751
1029	28376	26723
1030	28403	26695
1031	28431	26668
1032	28458	26640
1033	28486	26613
1034	28513	26585
1035	28541	26558
1036	28567	26528
1037	28593	26499
1038	28620	26472
1039	28647	26443
1040	28675	26416
1041	28702	26388
1042	28729	26360
1043	28758	26334
1044	28787	26307
1045	28816	26282
1046	28843	26253
1047	28876	26230
1048	28904	26204
1049	28931	26176
1050	28960	26149
1051	28988	26122
1052	29013	26093
1053	29045	26069
1054	29073	26042
1055	29102	26015
1056	29130	25988
1057	29157	25960
1058	29182	25930
1059	29208	25902
1060	29234	25872
1061	29260	25844
1062	29285	25814
1063	29311	25784
1064	29337	25756
1065	29362	25726
1066	29391	25700
1067	29417	25671
1068	29444	25643
1069	29472	25616
1070	29498	25587
1071	29525	25559
1072	29551	25530
1073	29578	25502
1074	29604	25474
1075	29629	25444
1076	29657	25416
1077	29683	25388
1078	29711	25360
1079	29737	25332
1080	29763	25302
1081	29791	25275
1082	29818	25247
1083	29843	25218
1084	29869	25189
1085	29895	25160
1086	29923	25133
1087	29951	25106
1088	29976	25076
1089	30002	25048
1090	30028	25019
1091	30053	24989
1092	30081	24962
1093	30108	24934
1094	30137	24908
1095	30165	24880
1096	30194	24854
1097	30223	24828
1098	30250	24800
1099	30278	24773
1100	30309	24748
1101	30337	24721
1102	30365	24694
1103	30392	24666
1104	30420	24639
1105	30448	24611
1106	30475	24584
1107	30502	24556
1108	30527	24526
1109	30554	24498
1110	30581	24471
1111	30607	24441
1112	30634	24414
1113	30660	24385
1114	30687	24357
1115	30715	24330
1116	30741	24301
1117	30767	24272
1118	30795	24245
1119	30823	24218
1120	30852	24192
1121	30881	24165
1122	30909	24138
1123	30937	24111
1124	30966	24085
1125	30992	24056
1126	31021	24029
1127	31047	24001
1128	31071	23971
1129	31102	23945
1130	31127	23916
1131	31152	23887
1132	31179	23859
1133	31204	23830
1134	31231	23802
1135	31255	23772
1136	31282	23743
1137	31309	23715
1138	31337	23688
1139	31363	23660
1140	31391	23632
1141	31419	23606
1142	31448	23579
1143	31477	23552
1144	31505	23526
1145	31533	23498
1146	31560	23471
1147	31590	23445
1148	31618	23418
1149	31644	23389
1150	31673	23363
1151	31700	23335
1152	31726	23306
1153	31753	23278
1154	31779	23249
1155	31806	23222
1156	31832	23193
1157	31856	23163
1158	31881	23134
1159	31910	23107
1160	31938	23080
1161	31965	23052
1162	31992	23024
1163	32022	22998
1164	32049	22971
1165	32074	22942
1166	32104	22916
1167	32133	22889
1168	32158	22860
1169	32187	22833
1170	32216	22807
1171	32242	22778
1172	32270	22751
1173	32298	22724
1174	32326	22697
1175	32355	22670
1176	32384	22644
1177	32423	22625
1178	32470	22610
1179	32499	22584
1180	32537	22563
1181	32563	22535
1182	32591	22508
1183	32621	22482
1184	32655	22459
1185	32685	22433
1186	32714	22406
1187	32744	22380
1188	32775	22355
1189	32805	22330
1190	32833	22302
1191	32860	22274
1192	32887	22246
1193	32913	22217
1194	32939	22189
1195	32965	22160
1196	32991	22132
1197	33019	22104
1198	33045	22076
1199	33071	22047
1200	33098	22019
1201	33126	21992
1202	33155	21965
1203	33185	21939
1204	33213	21912
1205	33241	21885
1206	33271	21859
1207	33304	21835
1208	33333	21809
1209	33363	21782
1210	33390	21754
1211	33418	21727
1212	33447	21700
1213	33474	21672
1214	33502	21645
1215	33529	21617
1216	33557	21590
1217	33583	21561
1218	33610	21533
1219	33635	21504
1220	33661	21476
1221	33688	21448
1222	33718	21422
1223	33749	21396
1224	33776	21368
1225	33807	21343
1226	33839	21318
1227	33870	21293
1228	33899	21266
1229	33925	21238
1230	33952	21210
1231	33980	21182
1232	34006	21154
1233	34033	21126
1234	34060	21098
1235	34089	21071
1236	34115	21042
1237	34141	21014
1238	34166	20985
1239	34195	20958
1240	34223	20931
1241	34250	20903
1242	34278	20875
1243	34303	20846
1244	34333	20820
1245	34361	20793
1246	34390	20766
1247	34416	20738
1248	34445	20711
1249	34474	20684
1250	34499	20655
1251	34526	20627
1252	34552	20599
1253	34581	20572
1254	34607	20543
1255	34633	20515
1256	34660	20487
1257	34685	20458
1258	34711	20429
1259	34739	20402
1260	34764	20373
1261	34790	20345
1262	34817	20317
1263	34844	20289
1264	34874	20263
1265	34904	20236
1266	34934	20210
1267	34963	20183
1268	34993	20157
1269	35025	20132
1270	35053	20105
1271	35081	20078
1272	35111	20051
1273	35138	20023
1274	35163	19995
1275	35188	19965
1276	35212	19936
1277	35238	19908
1278	35264	19879
1279	35291	19851
1280	35317	19822
1281	35346	19795
1282	35377	19770
1283	35406	19743
1284	35435	19717
1285	35463	19689
1286	35491	19662
1287	35521	19636
1288	35548	19608
1289	35577	19581
1290	35606	19554
1291	35633	19526
1292	35661	19499
1293	35689	19472
1294	35718	19445
1295	35744	19416
1296	35771	19388
1297	35797	19360
1298	35824	19332
1299	35853	19305
1300	35881	19278
1301	35910	19251
1302	35937	19223
1303	35962	19194
1304	35990	19167
1305	36018	19139
1306	36044	19111
1307	36075	19085
1308	36102	19058
1309	36129	19029
1310	36157	19002
1311	36185	18975
1312	36213	18948
1313	36242	18921
1314	36270	18893
1315	36293	18863
1316	36323	18837
1317	36350	18809
1318	36377	18781
1319	36405	18754
1320	36432	18726
1321	36458	18697
1322	36484	18669
1323	36509	18641
1324	36537	18613
1325	36564	18585
1326	36591	18557
1327	36622	18531
1328	36649	18503
1329	36678	18477
1330	36705	18449
1331	36734	18422
1332	36761	18394
1333	36791	18368
1334	36819	18340
1335	36845	18312
1336	36874	18285
1337	36902	18258
1338	36930	18230
1339	36955	18202
1340	36981	18173
1341	37008	18145
1342	37036	18118
1343	37063	18090
1344	37090	18062
1345	37116	18034
1346	37142	18006
1347	37169	17978
1348	37197	17950
1349	37222	17921
1350	37251	17895
1351	37277	17866
1352	37305	17839
1353	37335	17812
1354	37363	17785
1355	37391	17758
1356	37419	17730
1357	37448	17703
1358	37476	17676
1359	37505	17649
1360	37534	17622
1361	37565	17596
1362	37594	17570
1363	37622	17542
1364	37652	17515
1365	37679	17488
1366	37707	17460
1367	37736	17434
1368	37765	17406
1369	37793	17379
1370	37822	17352
1371	37850	17325
1372	37880	17298
1373	37909	17271
1374	37937	17244
1375	37967	17217
1376	37994	17190
1377	38022	17162
1378	38063	17141
1379	38100	17117
1380	38138	17094
1381	38173	17070
1382	38204	17044
1383	38231	17016
1384	38258	16988
1385	38286	16961
1386	38317	16934
1387	38344	16906
1388	38369	16878
1389	38398	16851
1390	38426	16823
1391	38454	16796
1392	38485	16770
1393	38512	16742
1394	38539	16714
1395	38567	16686
1396	38593	16658
1397	38623	16631
1398	38652	16604
1399	38681	16577
1400	38710	16550
1401	38736	16522
1402	38765	16495
1403	38797	16469
1404	38826	16442
1405	38853	16414
1406	38881	16387
1407	38913	16361
1408	38942	16334
1409	38967	16305
1410	38996	16278
1411	39023	16250
1412	39051	16223
1413	39078	16195
1414	39107	16168
1415	39135	16140
1416	39164	16113
1417	39191	16085
1418	39216	16056
1419	39244	16029
1420	39270	16001
1421	39299	15974
1422	39326	15946
1423	39354	15918
1424	39381	15890
1425	39409	15863
1426	39437	15835
1427	39464	15807
1428	39491	15779
1429	39515	15751
1430	39543	15723
1431	39569	15695
1432	39595	15666
1433	39621	15638
1434	39646	15609
1435	39672	15581
1436	39699	15553
1437	39727	15526
1438	39754	15498
1439	39781	15470
1440	39809	15443
1441	39835	15414
1442	39861	15386
1443	39888	15358
1444	39919	15332
1445	39946	15304
1446	39975	15277
1447	40004	15250
1448	40034	15223
1449	40061	15195
1450	40088	15167
1451	40118	15140
1452	40148	15114
1453	40174	15086
1454	40204	15059
1455	40231	15031
1456	40257	15003
1457	40286	14976
1458	40312	14948
